iso;country;language;id;region1;region2;region3;region4;locality;postcode;suburb;latitude;longitude;elevation;iso2;fips;nuts;hasc;stat;timezone;utc;dst
DE;Deutschland;DE;1040244109;Berlin;;Berlin;;Berlin;13587;Britz;52.565215;13.213807;35;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342937;Berlin;;Berlin;;Berlin;13125;Buch;52.630354;13.497826;55;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342939;Berlin;;Berlin;;Berlin;13127;Buchholz;52.601800;13.420471;49;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342796;Berlin;;Berlin;;Berlin;12305;Buckow;52.413280;13.406308;45;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342797;Berlin;;Berlin;;Berlin;12349;Buckow;52.421146;13.418036;45;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342798;Berlin;;Berlin;;Berlin;12351;Buckow;52.434655;13.458232;44;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342799;Berlin;;Berlin;;Berlin;12353;Buckow;52.421113;13.446993;43;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342800;Berlin;;Berlin;;Berlin;12357;Buckow;52.433220;13.475083;36;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342801;Berlin;;Berlin;;Berlin;12359;Buckow;52.447835;13.478464;34;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343160;Berlin;;Berlin;;Berlin;10557;Charlottenburg;52.512368;13.324708;38;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343161;Berlin;;Berlin;;Berlin;10585;Charlottenburg;52.515824;13.303688;46;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343162;Berlin;;Berlin;;Berlin;10587;Charlottenburg;52.519078;13.318688;44;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343163;Berlin;;Berlin;;Berlin;10589;Charlottenburg;52.528914;13.317238;38;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343164;Berlin;;Berlin;;Berlin;10623;Charlottenburg;52.505846;13.348874;48;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343165;Berlin;;Berlin;;Berlin;10625;Charlottenburg;52.510408;13.314602;42;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343166;Berlin;;Berlin;;Berlin;10627;Charlottenburg;52.508689;13.303802;37;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343167;Berlin;;Berlin;;Berlin;10629;Charlottenburg;52.502203;13.307308;45;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343168;Berlin;;Berlin;;Berlin;10707;Charlottenburg;52.497548;13.358505;40;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343169;Berlin;;Berlin;;Berlin;10709;Charlottenburg;52.499837;13.304768;43;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343170;Berlin;;Berlin;;Berlin;10711;Charlottenburg;52.501273;13.298056;46;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343171;Berlin;;Berlin;;Berlin;10719;Charlottenburg;52.512026;13.342196;34;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343172;Berlin;;Berlin;;Berlin;10785;Charlottenburg;52.512368;13.324708;38;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343173;Berlin;;Berlin;;Berlin;10787;Charlottenburg;52.481520;13.352606;47;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343174;Berlin;;Berlin;;Berlin;10789;Charlottenburg;52.486624;13.345964;45;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343175;Berlin;;Berlin;;Berlin;12589;Charlottenburg;52.508067;13.482399;38;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343176;Berlin;;Berlin;;Berlin;12623;Charlottenburg;52.508067;13.482399;38;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343177;Berlin;;Berlin;;Berlin;13088;Charlottenburg;52.508067;13.482399;38;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343178;Berlin;;Berlin;;Berlin;13347;Charlottenburg;52.496181;13.521024;37;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343179;Berlin;;Berlin;;Berlin;13353;Charlottenburg;52.523713;13.427063;45;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343180;Berlin;;Berlin;;Berlin;13467;Charlottenburg;52.508067;13.482399;38;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343181;Berlin;;Berlin;;Berlin;13597;Charlottenburg;52.525600;13.241639;37;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343182;Berlin;;Berlin;;Berlin;13627;Charlottenburg;52.533106;13.317835;36;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343184;Berlin;;Berlin;;Berlin;14050;Charlottenburg;52.516672;13.272038;64;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343185;Berlin;;Berlin;;Berlin;14055;Charlottenburg;52.503264;13.222573;80;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343186;Berlin;;Berlin;;Berlin;14057;Charlottenburg;52.507427;13.290409;38;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343187;Berlin;;Berlin;;Berlin;14059;Charlottenburg;52.516270;13.290495;38;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343210;Berlin;;Berlin;;Berlin;14169;Dahlem;52.452543;13.263103;47;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343211;Berlin;;Berlin;;Berlin;14193;Dahlem;52.462654;13.259442;60;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343212;Berlin;;Berlin;;Berlin;14195;Dahlem;52.461062;13.294038;60;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342912;Berlin;;Berlin;;Berlin;13057;Falkenberg;52.567416;13.551416;58;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
